chrom	start	end	region	coverage	sample
MN908947.3	2181	2592	nCoV-2019_8	0	SAMPLE_01
MN908947.3	2504	2904	nCoV-2019_9	0	SAMPLE_01
MN908947.3	2826	3210	nCoV-2019_10	0	SAMPLE_01
MN908947.3	3144	3531	nCoV-2019_11	0	SAMPLE_01
MN908947.3	3460	3853	nCoV-2019_12	0	SAMPLE_01
MN908947.3	3771	4164	nCoV-2019_13	0	SAMPLE_01
MN908947.3	4044	4450	nCoV-2019_14	0	SAMPLE_01
MN908947.3	4294	4696	nCoV-2019_15	0	SAMPLE_01
MN908947.3	4636	5017	nCoV-2019_16	0	SAMPLE_01
MN908947.3	4939	5321	nCoV-2019_17	0	SAMPLE_01
MN908947.3	5230	5644	nCoV-2019_18	0	SAMPLE_01
MN908947.3	5563	5957	nCoV-2019_19	0	SAMPLE_01
MN908947.3	5867	6272	nCoV-2019_20	0	SAMPLE_01
MN908947.3	6167	6550	nCoV-2019_21	0	SAMPLE_01
MN908947.3	6466	6873	nCoV-2019_22	0	SAMPLE_01
MN908947.3	6718	7117	nCoV-2019_23	0	SAMPLE_01
MN908947.3	7035	7415	nCoV-2019_24	0	SAMPLE_01
MN908947.3	7305	7694	nCoV-2019_25	0	SAMPLE_01
MN908947.3	7626	8019	nCoV-2019_26	0	SAMPLE_01
MN908947.3	7943	8341	nCoV-2019_27	0	SAMPLE_01
MN908947.3	8249	8661	nCoV-2019_28	0	SAMPLE_01
MN908947.3	8595	8983	nCoV-2019_29	0	SAMPLE_01
MN908947.3	8888	9271	nCoV-2019_30	0	SAMPLE_01
MN908947.3	9204	9585	nCoV-2019_31	0	SAMPLE_01
MN908947.3	9477	9858	nCoV-2019_32	0	SAMPLE_01
MN908947.3	9784	10171	nCoV-2019_33	0	SAMPLE_01
MN908947.3	10076	10459	nCoV-2019_34	0	SAMPLE_01
MN908947.3	10362	10763	nCoV-2019_35	0	SAMPLE_01
MN908947.3	10666	11074	nCoV-2019_36	0	SAMPLE_01
MN908947.3	10999	11394	nCoV-2019_37	0	SAMPLE_01
MN908947.3	11306	11693	nCoV-2019_38	0	SAMPLE_01
MN908947.3	11555	11949	nCoV-2019_39	0	SAMPLE_01
MN908947.3	11863	12256	nCoV-2019_40	0	SAMPLE_01
MN908947.3	12110	12490	nCoV-2019_41	0	SAMPLE_01
MN908947.3	12417	12802	nCoV-2019_42	0	SAMPLE_01
MN908947.3	12710	13096	nCoV-2019_43	0	SAMPLE_01
MN908947.3	13005	13400	nCoV-2019_44	5366	SAMPLE_01
MN908947.3	13307	13699	nCoV-2019_45	0	SAMPLE_01
MN908947.3	13599	13984	nCoV-2019_46	0	SAMPLE_01
MN908947.3	13918	14299	nCoV-2019_47	0	SAMPLE_01
MN908947.3	14207	14601	nCoV-2019_48	0	SAMPLE_01
MN908947.3	14545	14926	nCoV-2019_49	0	SAMPLE_01
MN908947.3	14865	15246	nCoV-2019_50	0	SAMPLE_01
MN908947.3	15171	15560	nCoV-2019_51	0	SAMPLE_01
MN908947.3	15481	15886	nCoV-2019_52	0	SAMPLE_01
MN908947.3	15827	16209	nCoV-2019_53	0	SAMPLE_01
MN908947.3	16118	16510	nCoV-2019_54	0	SAMPLE_01
MN908947.3	16416	16833	nCoV-2019_55	0	SAMPLE_01
MN908947.3	16748	17152	nCoV-2019_56	0	SAMPLE_01
MN908947.3	17065	17452	nCoV-2019_57	0	SAMPLE_01
MN908947.3	17381	17761	nCoV-2019_58	0	SAMPLE_01
MN908947.3	17674	18062	nCoV-2019_59	0	SAMPLE_01
MN908947.3	17966	18348	nCoV-2019_60	0	SAMPLE_01
MN908947.3	18253	18672	nCoV-2019_61	0	SAMPLE_01
MN908947.3	18596	18979	nCoV-2019_62	0	SAMPLE_01
MN908947.3	18896	19297	nCoV-2019_63	0	SAMPLE_01
MN908947.3	19204	19616	nCoV-2019_64	0	SAMPLE_01
MN908947.3	19548	19939	nCoV-2019_65	0	SAMPLE_01
MN908947.3	19844	20255	nCoV-2019_66	0	SAMPLE_01
MN908947.3	20172	20572	nCoV-2019_67	0	SAMPLE_01
MN908947.3	20472	20890	nCoV-2019_68	0	SAMPLE_01
MN908947.3	20786	21169	nCoV-2019_69	0	SAMPLE_01
MN908947.3	21075	21455	nCoV-2019_70	0	SAMPLE_01
MN908947.3	21357	21743	nCoV-2019_71	0	SAMPLE_01
MN908947.3	21658	22038	nCoV-2019_72	0	SAMPLE_01
MN908947.3	21961	22346	nCoV-2019_73	0	SAMPLE_01
MN908947.3	22262	22650	nCoV-2019_74	0	SAMPLE_01
MN908947.3	22516	22903	nCoV-2019_75	0	SAMPLE_01
MN908947.3	22797	23214	nCoV-2019_76	0	SAMPLE_01
MN908947.3	23122	23522	nCoV-2019_77	0	SAMPLE_01
MN908947.3	23443	23847	nCoV-2019_78	0	SAMPLE_01
MN908947.3	23789	24169	nCoV-2019_79	0	SAMPLE_01
MN908947.3	24078	24467	nCoV-2019_80	0	SAMPLE_01
MN908947.3	24391	24789	nCoV-2019_81	0	SAMPLE_01
MN908947.3	24696	25076	nCoV-2019_82	0	SAMPLE_01
MN908947.3	24978	25369	nCoV-2019_83	0	SAMPLE_01
MN908947.3	25279	25673	nCoV-2019_84	0	SAMPLE_01
MN908947.3	25601	25994	nCoV-2019_85	0	SAMPLE_01
MN908947.3	25902	26315	nCoV-2019_86	0	SAMPLE_01
MN908947.3	26197	26590	nCoV-2019_87	0	SAMPLE_01
MN908947.3	26520	26913	nCoV-2019_88	0	SAMPLE_01
MN908947.3	26835	27227	nCoV-2019_89	0	SAMPLE_01
MN908947.3	27141	27533	nCoV-2019_90	0	SAMPLE_01
MN908947.3	27446	27854	nCoV-2019_91	0	SAMPLE_01
MN908947.3	27784	28172	nCoV-2019_92	0	SAMPLE_01
MN908947.3	28081	28464	nCoV-2019_93	0	SAMPLE_01
MN908947.3	28394	28779	nCoV-2019_94	0	SAMPLE_01
MN908947.3	28677	29063	nCoV-2019_95	0	SAMPLE_01
MN908947.3	28985	29378	nCoV-2019_96	0	SAMPLE_01
MN908947.3	29288	29693	nCoV-2019_97	0	SAMPLE_01
MN908947.3	29486	29866	nCoV-2019_98	0	SAMPLE_01
MN908947.3	30	410	nCoV-2019_1	5700	SAMPLE_03
MN908947.3	320	726	nCoV-2019_2	5431	SAMPLE_03
MN908947.3	642	1028	nCoV-2019_3	5973	SAMPLE_03
MN908947.3	943	1337	nCoV-2019_4	6354	SAMPLE_03
MN908947.3	1242	1651	nCoV-2019_5	516	SAMPLE_03
MN908947.3	1573	1964	nCoV-2019_6	1332	SAMPLE_03
MN908947.3	1868	2269	nCoV-2019_7	156	SAMPLE_03
MN908947.3	2181	2592	nCoV-2019_8	1883	SAMPLE_03
MN908947.3	2504	2904	nCoV-2019_9	50	SAMPLE_03
MN908947.3	2826	3210	nCoV-2019_10	5193	SAMPLE_03
MN908947.3	3144	3531	nCoV-2019_11	5671	SAMPLE_03
MN908947.3	3460	3853	nCoV-2019_12	888	SAMPLE_03
MN908947.3	3771	4164	nCoV-2019_13	1704	SAMPLE_03
MN908947.3	4044	4450	nCoV-2019_14	5622	SAMPLE_03
MN908947.3	4294	4696	nCoV-2019_15	3883	SAMPLE_03
MN908947.3	4636	5017	nCoV-2019_16	2611	SAMPLE_03
MN908947.3	4939	5321	nCoV-2019_17	433	SAMPLE_03
MN908947.3	5230	5644	nCoV-2019_18	5448	SAMPLE_03
MN908947.3	5563	5957	nCoV-2019_19	9863	SAMPLE_03
MN908947.3	5867	6272	nCoV-2019_20	2887	SAMPLE_03
MN908947.3	6167	6550	nCoV-2019_21	8895	SAMPLE_03
MN908947.3	6466	6873	nCoV-2019_22	6933	SAMPLE_03
MN908947.3	6718	7117	nCoV-2019_23	192	SAMPLE_03
MN908947.3	7035	7415	nCoV-2019_24	819	SAMPLE_03
MN908947.3	7305	7694	nCoV-2019_25	7246	SAMPLE_03
MN908947.3	7626	8019	nCoV-2019_26	6107	SAMPLE_03
MN908947.3	7943	8341	nCoV-2019_27	7085	SAMPLE_03
MN908947.3	8249	8661	nCoV-2019_28	1672	SAMPLE_03
MN908947.3	8595	8983	nCoV-2019_29	372	SAMPLE_03
MN908947.3	8888	9271	nCoV-2019_30	7091	SAMPLE_03
MN908947.3	9204	9585	nCoV-2019_31	1536	SAMPLE_03
MN908947.3	9477	9858	nCoV-2019_32	10481	SAMPLE_03
MN908947.3	9784	10171	nCoV-2019_33	807	SAMPLE_03
MN908947.3	10076	10459	nCoV-2019_34	7946	SAMPLE_03
MN908947.3	10362	10763	nCoV-2019_35	4435	SAMPLE_03
MN908947.3	10666	11074	nCoV-2019_36	1959	SAMPLE_03
MN908947.3	10999	11394	nCoV-2019_37	17843	SAMPLE_03
MN908947.3	11306	11693	nCoV-2019_38	4622	SAMPLE_03
MN908947.3	11555	11949	nCoV-2019_39	2569	SAMPLE_03
MN908947.3	11863	12256	nCoV-2019_40	6959	SAMPLE_03
MN908947.3	12110	12490	nCoV-2019_41	6813	SAMPLE_03
MN908947.3	12417	12802	nCoV-2019_42	12042	SAMPLE_03
MN908947.3	12710	13096	nCoV-2019_43	5866	SAMPLE_03
MN908947.3	13005	13400	nCoV-2019_44	17042	SAMPLE_03
MN908947.3	13307	13699	nCoV-2019_45	773	SAMPLE_03
MN908947.3	13599	13984	nCoV-2019_46	598	SAMPLE_03
MN908947.3	13918	14299	nCoV-2019_47	4800	SAMPLE_03
MN908947.3	14207	14601	nCoV-2019_48	4933	SAMPLE_03
MN908947.3	14545	14926	nCoV-2019_49	7649	SAMPLE_03
MN908947.3	14865	15246	nCoV-2019_50	1356	SAMPLE_03
MN908947.3	15171	15560	nCoV-2019_51	1795	SAMPLE_03
MN908947.3	15481	15886	nCoV-2019_52	8000	SAMPLE_03
MN908947.3	15827	16209	nCoV-2019_53	10333	SAMPLE_03
MN908947.3	16118	16510	nCoV-2019_54	1204	SAMPLE_03
MN908947.3	16416	16833	nCoV-2019_55	1241	SAMPLE_03
MN908947.3	16748	17152	nCoV-2019_56	6067	SAMPLE_03
MN908947.3	17065	17452	nCoV-2019_57	18578	SAMPLE_03
MN908947.3	17381	17761	nCoV-2019_58	6991	SAMPLE_03
MN908947.3	17674	18062	nCoV-2019_59	5958	SAMPLE_03
MN908947.3	17966	18348	nCoV-2019_60	5067	SAMPLE_03
MN908947.3	18253	18672	nCoV-2019_61	9339	SAMPLE_03
MN908947.3	18596	18979	nCoV-2019_62	15332	SAMPLE_03
MN908947.3	18896	19297	nCoV-2019_63	3979	SAMPLE_03
MN908947.3	19204	19616	nCoV-2019_64	60	SAMPLE_03
MN908947.3	19548	19939	nCoV-2019_65	1793	SAMPLE_03
MN908947.3	19844	20255	nCoV-2019_66	264	SAMPLE_03
MN908947.3	20172	20572	nCoV-2019_67	136	SAMPLE_03
MN908947.3	20472	20890	nCoV-2019_68	6446	SAMPLE_03
MN908947.3	20786	21169	nCoV-2019_69	8713	SAMPLE_03
MN908947.3	21075	21455	nCoV-2019_70	252	SAMPLE_03
MN908947.3	21357	21743	nCoV-2019_71	284	SAMPLE_03
MN908947.3	21658	22038	nCoV-2019_72	4833	SAMPLE_03
MN908947.3	21961	22346	nCoV-2019_73	1065	SAMPLE_03
MN908947.3	22262	22650	nCoV-2019_74	114	SAMPLE_03
MN908947.3	22516	22903	nCoV-2019_75	2786	SAMPLE_03
MN908947.3	22797	23214	nCoV-2019_76	976	SAMPLE_03
MN908947.3	23122	23522	nCoV-2019_77	10996	SAMPLE_03
MN908947.3	23443	23847	nCoV-2019_78	3923	SAMPLE_03
MN908947.3	23789	24169	nCoV-2019_79	1047	SAMPLE_03
MN908947.3	24078	24467	nCoV-2019_80	3645	SAMPLE_03
MN908947.3	24391	24789	nCoV-2019_81	2905	SAMPLE_03
MN908947.3	24696	25076	nCoV-2019_82	12986	SAMPLE_03
MN908947.3	24978	25369	nCoV-2019_83	12188	SAMPLE_03
MN908947.3	25279	25673	nCoV-2019_84	6113	SAMPLE_03
MN908947.3	25601	25994	nCoV-2019_85	461	SAMPLE_03
MN908947.3	25902	26315	nCoV-2019_86	89	SAMPLE_03
MN908947.3	26197	26590	nCoV-2019_87	3311	SAMPLE_03
MN908947.3	26520	26913	nCoV-2019_88	6750	SAMPLE_03
MN908947.3	26835	27227	nCoV-2019_89	1516	SAMPLE_03
MN908947.3	27141	27533	nCoV-2019_90	4134	SAMPLE_03
MN908947.3	27446	27854	nCoV-2019_91	21	SAMPLE_03
MN908947.3	27784	28172	nCoV-2019_92	4188	SAMPLE_03
MN908947.3	28081	28464	nCoV-2019_93	9161	SAMPLE_03
MN908947.3	28394	28779	nCoV-2019_94	7453	SAMPLE_03
MN908947.3	28677	29063	nCoV-2019_95	485	SAMPLE_03
MN908947.3	28985	29378	nCoV-2019_96	3974	SAMPLE_03
MN908947.3	29288	29693	nCoV-2019_97	3882	SAMPLE_03
MN908947.3	29486	29866	nCoV-2019_98	3977	SAMPLE_03
MN908947.3	30	410	nCoV-2019_1	1420	SAMPLE_04
MN908947.3	320	726	nCoV-2019_2	4517	SAMPLE_04
MN908947.3	642	1028	nCoV-2019_3	3190	SAMPLE_04
MN908947.3	943	1337	nCoV-2019_4	2538	SAMPLE_04
MN908947.3	1242	1651	nCoV-2019_5	1878	SAMPLE_04
MN908947.3	1573	1964	nCoV-2019_6	2183	SAMPLE_04
MN908947.3	1868	2269	nCoV-2019_7	3559	SAMPLE_04
MN908947.3	2181	2592	nCoV-2019_8	4079	SAMPLE_04
MN908947.3	2504	2904	nCoV-2019_9	4180	SAMPLE_04
MN908947.3	2826	3210	nCoV-2019_10	5954	SAMPLE_04
MN908947.3	3144	3531	nCoV-2019_11	3532	SAMPLE_04
MN908947.3	3460	3853	nCoV-2019_12	2213	SAMPLE_04
MN908947.3	3771	4164	nCoV-2019_13	3642	SAMPLE_04
MN908947.3	4044	4450	nCoV-2019_14	7720	SAMPLE_04
MN908947.3	4294	4696	nCoV-2019_15	5693	SAMPLE_04
MN908947.3	4636	5017	nCoV-2019_16	3718	SAMPLE_04
MN908947.3	4939	5321	nCoV-2019_17	2109	SAMPLE_04
MN908947.3	5230	5644	nCoV-2019_18	7021	SAMPLE_04
MN908947.3	5563	5957	nCoV-2019_19	5287	SAMPLE_04
MN908947.3	5867	6272	nCoV-2019_20	3073	SAMPLE_04
MN908947.3	6167	6550	nCoV-2019_21	10070	SAMPLE_04
MN908947.3	6466	6873	nCoV-2019_22	4153	SAMPLE_04
MN908947.3	6718	7117	nCoV-2019_23	1948	SAMPLE_04
MN908947.3	7035	7415	nCoV-2019_24	5155	SAMPLE_04
MN908947.3	7305	7694	nCoV-2019_25	6130	SAMPLE_04
MN908947.3	7626	8019	nCoV-2019_26	4639	SAMPLE_04
MN908947.3	7943	8341	nCoV-2019_27	5065	SAMPLE_04
MN908947.3	8249	8661	nCoV-2019_28	4039	SAMPLE_04
MN908947.3	8595	8983	nCoV-2019_29	4536	SAMPLE_04
MN908947.3	8888	9271	nCoV-2019_30	4983	SAMPLE_04
MN908947.3	9204	9585	nCoV-2019_31	9023	SAMPLE_04
MN908947.3	9477	9858	nCoV-2019_32	7178	SAMPLE_04
MN908947.3	9784	10171	nCoV-2019_33	4186	SAMPLE_04
MN908947.3	10076	10459	nCoV-2019_34	4819	SAMPLE_04
MN908947.3	10362	10763	nCoV-2019_35	4878	SAMPLE_04
MN908947.3	10666	11074	nCoV-2019_36	6519	SAMPLE_04
MN908947.3	10999	11394	nCoV-2019_37	7498	SAMPLE_04
MN908947.3	11306	11693	nCoV-2019_38	9465	SAMPLE_04
MN908947.3	11555	11949	nCoV-2019_39	4637	SAMPLE_04
MN908947.3	11863	12256	nCoV-2019_40	4268	SAMPLE_04
MN908947.3	12110	12490	nCoV-2019_41	6005	SAMPLE_04
MN908947.3	12417	12802	nCoV-2019_42	6574	SAMPLE_04
MN908947.3	12710	13096	nCoV-2019_43	4091	SAMPLE_04
MN908947.3	13005	13400	nCoV-2019_44	15277	SAMPLE_04
MN908947.3	13307	13699	nCoV-2019_45	7563	SAMPLE_04
MN908947.3	13599	13984	nCoV-2019_46	4039	SAMPLE_04
MN908947.3	13918	14299	nCoV-2019_47	4088	SAMPLE_04
MN908947.3	14207	14601	nCoV-2019_48	3255	SAMPLE_04
MN908947.3	14545	14926	nCoV-2019_49	4794	SAMPLE_04
MN908947.3	14865	15246	nCoV-2019_50	2440	SAMPLE_04
MN908947.3	15171	15560	nCoV-2019_51	4479	SAMPLE_04
MN908947.3	15481	15886	nCoV-2019_52	4200	SAMPLE_04
MN908947.3	15827	16209	nCoV-2019_53	5836	SAMPLE_04
MN908947.3	16118	16510	nCoV-2019_54	5762	SAMPLE_04
MN908947.3	16416	16833	nCoV-2019_55	3675	SAMPLE_04
MN908947.3	16748	17152	nCoV-2019_56	7056	SAMPLE_04
MN908947.3	17065	17452	nCoV-2019_57	8230	SAMPLE_04
MN908947.3	17381	17761	nCoV-2019_58	4378	SAMPLE_04
MN908947.3	17674	18062	nCoV-2019_59	3723	SAMPLE_04
MN908947.3	17966	18348	nCoV-2019_60	4433	SAMPLE_04
MN908947.3	18253	18672	nCoV-2019_61	4781	SAMPLE_04
MN908947.3	18596	18979	nCoV-2019_62	6548	SAMPLE_04
MN908947.3	18896	19297	nCoV-2019_63	3143	SAMPLE_04
MN908947.3	19204	19616	nCoV-2019_64	97	SAMPLE_04
MN908947.3	19548	19939	nCoV-2019_65	3284	SAMPLE_04
MN908947.3	19844	20255	nCoV-2019_66	1355	SAMPLE_04
MN908947.3	20172	20572	nCoV-2019_67	849	SAMPLE_04
MN908947.3	20472	20890	nCoV-2019_68	4605	SAMPLE_04
MN908947.3	20786	21169	nCoV-2019_69	4133	SAMPLE_04
MN908947.3	21075	21455	nCoV-2019_70	720	SAMPLE_04
MN908947.3	21357	21743	nCoV-2019_71	2124	SAMPLE_04
MN908947.3	21658	22038	nCoV-2019_72	2739	SAMPLE_04
MN908947.3	21961	22346	nCoV-2019_73	1588	SAMPLE_04
MN908947.3	22262	22650	nCoV-2019_74	421	SAMPLE_04
MN908947.3	22516	22903	nCoV-2019_75	1972	SAMPLE_04
MN908947.3	22797	23214	nCoV-2019_76	2120	SAMPLE_04
MN908947.3	23122	23522	nCoV-2019_77	4438	SAMPLE_04
MN908947.3	23443	23847	nCoV-2019_78	3059	SAMPLE_04
MN908947.3	23789	24169	nCoV-2019_79	2094	SAMPLE_04
MN908947.3	24078	24467	nCoV-2019_80	3478	SAMPLE_04
MN908947.3	24391	24789	nCoV-2019_81	2515	SAMPLE_04
MN908947.3	24696	25076	nCoV-2019_82	5283	SAMPLE_04
MN908947.3	24978	25369	nCoV-2019_83	5652	SAMPLE_04
MN908947.3	25279	25673	nCoV-2019_84	3187	SAMPLE_04
MN908947.3	25601	25994	nCoV-2019_85	6085	SAMPLE_04
MN908947.3	25902	26315	nCoV-2019_86	3438	SAMPLE_04
MN908947.3	26197	26590	nCoV-2019_87	3914	SAMPLE_04
MN908947.3	26520	26913	nCoV-2019_88	3542	SAMPLE_04
MN908947.3	26835	27227	nCoV-2019_89	5401	SAMPLE_04
MN908947.3	27141	27533	nCoV-2019_90	3217	SAMPLE_04
MN908947.3	27446	27854	nCoV-2019_91	1139	SAMPLE_04
MN908947.3	27784	28172	nCoV-2019_92	2804	SAMPLE_04
MN908947.3	28081	28464	nCoV-2019_93	3702	SAMPLE_04
MN908947.3	28394	28779	nCoV-2019_94	5043	SAMPLE_04
MN908947.3	28677	29063	nCoV-2019_95	3782	SAMPLE_04
MN908947.3	28985	29378	nCoV-2019_96	4595	SAMPLE_04
MN908947.3	29288	29693	nCoV-2019_97	5441	SAMPLE_04
MN908947.3	29486	29866	nCoV-2019_98	4276	SAMPLE_04
MN908947.3	30	410	nCoV-2019_1	4003	SAMPLE_08
MN908947.3	320	726	nCoV-2019_2	6854	SAMPLE_08
MN908947.3	642	1028	nCoV-2019_3	5525	SAMPLE_08
MN908947.3	943	1337	nCoV-2019_4	5338	SAMPLE_08
MN908947.3	1242	1651	nCoV-2019_5	879	SAMPLE_08
MN908947.3	1573	1964	nCoV-2019_6	2511	SAMPLE_08
MN908947.3	1868	2269	nCoV-2019_7	1081	SAMPLE_08
MN908947.3	2181	2592	nCoV-2019_8	3040	SAMPLE_08
MN908947.3	2504	2904	nCoV-2019_9	499	SAMPLE_08
MN908947.3	2826	3210	nCoV-2019_10	7065	SAMPLE_08
MN908947.3	3144	3531	nCoV-2019_11	6136	SAMPLE_08
